Görüş;Durum
çok kalitesiz tuşlarına bile doğru düzgün basılmiyor malzeme kalitesi biraz daha iyi olsa eğlenceli bir ürün olabilirdi bizimki bir haftada bozuldu;1
Bir heves aldık ama çok gereksiz, oynamak keyifli değil. Televizyona bağlanınca biraz daha iyi fakat onun kablosu da kısacık;1
Ürün elime çok çabuk ulaştı oyunları çocukluğuma götürdü beni yeğenim için aldım fakat bataryasında şişme yarattı;0
ürün güzel ama ürünün TV bağlantı kablosu çok kötü TV'ye uymuyo ses var görüntü yok ne yaptıysam olmadı;0
Nostaljik olması güzel ama bir süre sonra sıkıyor başka oyun yüklemesi olsa daha güzel olabilirdi.;0
idare eder çocuklar teknoloji sevdiğinden eski oyunlar ve grafiklerde dolayı bunu pek sevmedi heralde alanlar hep 80 90 kuşağı kendileri oynuyor;2
Şarjı çok az gidiyor birde oyunlar karışık sırayla popülerlik sırasına göre dizilmesi daha değerli olurdu;2
ayyy ben aldıktan snra çok iyi indirimler oldu can sıkıcı ??ama eğlence için alınır telefonla oynamak yerine bu gameboy efsane alinnnn aldirin;2
cok begendim sadece sesi yuksekteyken hafif cizirtili cikiyor ekranida normal boyutu tabi gunumuz ile kiyaslarsak bir tik genis olsa cok guzel olur.ulasimi guzel oldu firma guvenilir alinirmi evet 10 uzerinden 8 olur sevgilerle....;2
Degerlendirmedigimi farkettim urun guzel keyifli fakat sarj sorunu var saatlerce doldurmama ragmen 5-10 dk ancak oynayabiliyoruz;0
Ürün gayet güzel, nostalji olsun diye aldım, ekranında koruyucu olmadığı için kargoda ekran çizilmiş, oyun oynarken çok rahatsız etmediği için sorun olmadı.;0
Hayal kırıklığı ama zaman geçirmek için oynanabilir. Düşündüğüm gibi orijinal oyunları bulamadım içinde.;2
Ürün güzel çocukluğunuza gidiyorsunuz ancak çok kaliteli değil içinde gönderilen bataryanın ömrü az biz yenisiyle değiştirmek zorunda kaldık, evet pilli değil eski telefonlar gibi bataryalı..;0
İki adet almıştık ama hemen ses kısmı arıza yaptı çocuğumuz da sesi yok diye oynamak istemiyor;1
Çok beklentili olmamak lazım. Ama iş görüyor. Ekran biraz daha net olsa daha iyi olurdu;0
Ses ve görüntü kalitesi çok iyi değil. Ama kızım yinede çok sevdi.;0
Ürün içerik ve nostalji açısından çok iyi ancak sık şarj etmek zorunda kalıyoruz :(;0
Cocuklugumuzdaki ateride olan oyunların hepsi var bayıldım yalnız batarya cabuk bitiyor;0
çocuklar için cokta uygun değil bence 6 yaşındaki kizim beğenmedi ayrıca seside cızırtılı cikiyo;1
Ürün, 15 gun kullanımdan sonra batarya Şişti . Sarj yeri bozuldu. Oyunlar guzel ama;1
Oynanıyor, nostaljiyi de yaşatıyor ama gerçekten Çin malı denmesinin hakkını vermiş her şeyi ile.;0
resmen çocukluğuma döndüm efsane bir urun sadexe sarji cok cabuk bitiyor;0
Plastiği biraz kalitesi gözüküyor ama içerik olarak oyunlar güzel..;0
Çok beklentili olmamak lazım. Ama iş görüyor. Ekran biraz daha net olsa daha iyi olurdu;0
Ses ve görüntü kalitesi çok iyi değil. Ama kızım yinede çok sevdi.;0
teslimat tarihini gectigi yetmedigi gibi bir de FARKLI RENK GELDI!;1
Ürün içerik ve nostalji açısından çok iyi ancak sık şarj etmek zorunda kalıyoruz :(;0
güzel nostajik ve küçük çocukların oynayabileceği bi alet;2
Kötü yorum yazanları anlamıyorum ürün gayet güzel ve yeterli gerçekten teşekkürler;2
Ürün güzel. biraz boyutu küçük geldi onun harici memnun kaldım. ertesi gün urun elime ulaştı.;2
Eskiden oynadığımız atarilerin geliştirilmiş hali oynaması keyifli;2
yeni ulasti guzel bi urun birbirine benzer cok oyun var ama tercih edilebilir;2
Ürün kırmızı olmasına rağmen siyah geldi, onun dışında her şey gayet güzel;2
Fiyat performans açısından oldukça iyi çok hafif geldi bana. Mario için değer :);2
Aşırı hızlı kargo. Beklediğimden küçük ancak çok güzel.;2
400in1 almistim 500in1 geldi ama dusundugumden daha kaliteli begendim severek kullaniyorum;2
Çok beklediğim gibi bir ürün değil. Ama kargo teslimat ?? gayet hızlı oldu.;0
ürün beklediğim gibi çıktı bu fiyata gayet uygun çok beklentiye girmeyin;0
ürün güzel geldi fakat TV ye bağlanması için ayrı bir aparatı yokmuydu;0
eski oyunların hepsi var neredeyse şarjlı ve görüntüsü renkli;2
Ürün güzel nostaljik oyunlar oyalıyor. Fiyat performans açısından indirimli fiyatı iyi olmuş.;2
satıcıya teşekkür ederim öncelikle 500 oyun var. çok kaliteli durmuyo tabi ama nostalji olması güzel;0
keyifle kullanılabilecek bir ürün çocuklara aldım ama ben bırakamıyorum;2
Ürünün kalitesi iyi orjinal, paketleme güzel, satıcı ilgili...hoş vakit geçirmek için ideal;2
cok guzel sadece istedigim rengi gelmedi ama olsun yinedr cok guzel;2
Orta kalite ama nostalji için kesinlikle alınmalı;0
Çocukluğuma geri döndüm elimden düşürmüyorum;2
kalitesi çok iyi değil ama eğlencesi harika;0
Eşime aldım bayıldı . Sürekli elinde.;2
Ürün güzel kırmızı sipariş ettik beyaz geldi;0
Aldım ama normal.Fiyatına değmez bence.;1
Şarjı çabuk bitiyor onun dışında güzel;0
Ürun guzel .kablolari biraz kisa .;0
Diğer ürünlere göre bunu tercih etmenizi öneririm;2
Beğendim çok kaliteli olmasa da;0
Çok güzel kızım için aldım ama ben kullanıyorum;2
90 kuşağı iyi bilir eskilere götürüyor çok güzel;2
Beklenyi karşıladı atari oyunları iyi;2
sanki bozulacak gibi ama fiyatına göre düzgün;0
Çocukluğumun tüm oyunları mevcut ailece oynuyoruz;2
guzel urun alin nostaljik;2
oğlum için aldım,hevesini alıp bıraktı ama güzel;2
Görüntü kalitesi pek iyi değil;1
İndirimden alınabilcek süper bir ürün;2
vakit gecirmelik fakat cok bi kalite beklemeyin;0
Fiyat performans ürünü.çok eğlenceli;2
Güzel oğlum ve eşim severek oynuyor;2
Çok eğlenceli ama keşke diğer konsoluda olsaydı;0
yolculuklarda severek oynuyorum harika;2
hediye olarak almistim tv ye de baglaniyor cok iyi;2
babama almıştım ve beğendi elinden düşürmüyo;2
çok eğlenceli bir sürü oyun var kardeşim sevdi;2
Oglum severek kullanıyor;2
bence gerek yok bu oyuna;1
hediye almıştım, güzel. Kullanan arkadaşım memnun.;2
eski bütün oyunlar mevcut;2
sesi rahatsiz ediyor ama çocuklar sevdi;0
hem kaliteli hem uygun fiyatlı ürün;2
eski bütün oyunlar mevcut;2
özlenen oyunlar. 400 tane oyun var içinde;2
boyutu küçük eğlenceli;2
nostaljii... ekrani kucuk ama is goruyor ??;2
mükemmel ama şarjı çabuk bitiyor;0
Kızıma aldım ürün çok iyi;2
Ürün güzel verilen parayı karşılıyor;2
Ailecek severek oynuyoruz ??;2
Tam bir nostalji yaratıyor. Sesi bile yetti bana ??;2
Harika nostaljik bir ürün;2
hoşumuza gitti kullanışlı;2
Çok muazzam bir ürün cocukluguma döndüm.;2
Çok güzeldi, kardeşim bayıldı elinden düşürmüyor;2
5 yaşındaki oğlum çok sevdi çok keyifli;2
Göründüğü gibi geldi sıkıntı yok.;2
cocuklugum cok guzel eglenceli tavsiye ederim;2
indirimden alabildiğim için çok ama çok mutluyum;2
Güzel bir ürün çocukluğuma döndüm çok beğendim...;2
Kaliteli güzel bir ürün bayıldım;2
Boyutu küçük ama iş görür teşekkürler.;0
Çocukluğuma döndüm, çok güzel;2
Tşk kaliteli ürün hızlı kargolama;2
Çocukluğuma gittim resmen ??;2
mükemmel kesinlikle alın;2
gerçekten beni çocukluğuma götürdü?????;2
Çok güzel ve kullanışlı;2
Ürün gayet iyi tavsiye ederim....;2
Çocukluğuma döndüm =);2
Ürün gayet iyi tavsiye ederim....;2
Göründüğü gibi geldi sıkıntı yok.;2
mükemmel kesinlikle alın;2
cocuklugum cok guzel eglenceli tavsiye ederim;2
Ailecek severek oynuyoruz ??;2
Ürün güzel verilen parayı karşılıyor;2
Çok iyi ve eğlenceli ????;2
Tüm oyunlar çalışıyor süper;2
Çok güzel çok beğendik iyi ki almışız;2
Tam bir nostalji yaratıyor. Sesi bile yetti bana ??;2
Çok güzel bi ürün kesinlikle tavsiye ederim...;2
Çooookkkk eğlenceli alın;2
Cok iyi dusunmeden alin;2
eğlenceli vakit geçirmek için birebir;2
çok eğlenceli bir ürün..;2
Çok güzel severek kullanıyorum;2
Beklediğimden iyi çocuklar ve yetişkin için uygun;2
gerçekten çok sevdik baya eğlenceli ??;2
Çocukluğuma döndüm :) gerçekten çok güzel;2
valla ürün çok güzel ben bile kendimi alamıyorum ??;2
Çok kaliteli değil ama oynaması çok eğlenceli;0
Paketleme çok iyidi teşekkürler;2
Ürün cok güzel begendik herkese tavsiye ederiz;2
çok iyi bir çok oyun var. memnun kaldık.;2
mükemmel yok ötesi çocukluğum canlandı gözümde..;2
Ürün güzel, bataryası çok gidiyor.;2
Hediye olarak aldım severek kullanılıyor;2
Çok güzel kızım çok sevdi;2
anlatildigi gibiydi. tskler;2
beklediğim gibi güzel geldi;2
Çok güzel kızım çok sevdi;2
anlatildigi gibiydi. tskler;2
beklediğim gibi güzel geldi;2
Keyifli uygun fiyat;2
güzel beğendim;2
Çok güzel nostaljk;2
cok güzel yaaa;2
çok güzel beğendim;2
çok güzel çok;2
harika birşey;2
Çok memnun kaldık ??;2
muhteşem bir ürün;2
Çok eğlenceli :);2
Severek kullanıyoruZ;2
Mükemmelll :));2
Eğlenceli????;2
güzel alınabilir;2
Çok güzel;2
Çok tatlı ürün;2
Harika bir ürün;2
harika bir urun;2
Doya doya oynuyoruz;2
Çokk eglenceliii;2
Eglencelı cok gzl;2
Güzel ürün ??;2
Çocukluğum??????;2
??????güzellllll;2
Cok eglencelii;2
cok iyi calisiyor??????;2
Almayan kaldı mı :);2
harika bir urun;2
Çokk eglenceliii;2
Eglencelı cok gzl;2
Güzel eğlenceli ürün;2
Harika cidden..;2
Nostaljik çok guzel;2
Süper bi nostalji;2
Çok eğlenceli :);2
Severek kullanıyoruZ;2
Çok güzel;2
Mükemmelll :));2
muhteşem bir ürün;2
Harika bir ürün;2
Cok eglencelii;2
Eğlenceli????;2
Güzel bir ürün;2
Çok memnun kaldık ??;2
güzel alınabilir;2
harika!!!;2
çok beğendim;2
Çoook güzel;2
Güzel bir ürün;2
Güzel ve kullanışlı;2
Beklediğim gibiydi;2
Cok eglenceli;2
Mükemmel bir şey;2
Göründüğü gibi geldi;2
Çok beğendim;2
çok güzel beğendim;2
Mükemmelll :));2
??????güzellllll;2
Güzel ürün ??;2
Cok eglencelii;2
Almayan kaldı mı :);2
Teşekkkürler;2
Güzel bir ürün;2
Cok eglenceli;2
Güzel kaliteli;2
alin super;2
çok guzel,ilanceli;2
Çok keyifli;2
çok güzel eğlenceli;2
çok güzeel;2
Güzel yeğenim elinden düşürmüyor;2
Çok begendik güzel;2
Ürünün hem fiyatı uygun hmde grndügü gbi kalıteli bir ürün;2
sarji cok cabuk bitiyor, KIRMIZI istedigimiz hatta aldigimiz zamanda (kargoya vermeleri bir ömür sürdü) kirmizi daha pahaliyken tercih ettigimiz halde bize MAVI yollamislar.icinde bayagi oyun var o yuzden bir yildiz.;1
Ekranı mahvoldu daha ilk haftadan bilemedim o yüzden gereksiz bir harcama oldu öyle kaliteli bir şey beklemeyin;1
Ürün elimize geçtikten 5 gün sonra bozuldu. Ses var görüntü yok. Verdiğim paraya tek kelime ile yazık oldu.;1
Açıp kullansaydım belki güzel yorumlar yapabilirdim ama o kadar çizik geldi ki ekrana anahtar takıp çizsem ancak böyle olur.;1
Çokta alınası bir ürün değil. Olmasa da olur Aslında şarj süresi uzun bütün gün takılı kalmasına rağmen dolmadı diyebilirim.;1
İçindeki oyunları beğendim tam bi nostalji. Çok hoşuma gitti. Sadece şarjı biraz hızlı mı bitiyo yoksa ben mi çok oynuyorum bilmiyorum:);0
urun de oyunlar evet guzel ama malzeme kalitesi kesinlikle 0 sansmidir bilmem tabi ama daha elimize dun ulasti bugun sarj yeri cikti bukadar kotu bi malzeme olamaz ya oglumda cok begenmisti iade etmeyi dusunuyorum kesinlikle bu para etmez;0
Paketleme güzeldi ürün de sorunsuzdu fakat siparişi verirken beklentim çok farklı yöndeydi. Bu parayı hak ettiğini düşünmüyorum;0
çok övgüye bakarak sipariş etmiştim ama boyuttan ziyade oyunların çözünürlügü veya tuşların sertliği. beğenmedim. yani bence boşa alıncak bi ürün.;1
bir mavi bir kirmizi aldim kirmizinin ekran kalitesi maviden daha zayif mavii renkli olan daha iyi gorunumde;0
cok gec geldi neredeyse 10 gunu buldu oyunlar hep ayni yani toplamda 400 oyun yok ses kısılabiliyor cok hafif kaliteli bisi beklenmesin;1
Şarjı hemen bitiyor ve aldıktan 1 hafta sonra hevesiniz kalmıyor. Etrafınızda birilerinde varsa rica edin bir hafta oynayın sonra zaten sıkılacaksınız.;1
Okadar pahalı aldıktan sonra fiyatının bu kadar düşmesini ?? ama okadar da kaliteli bir şey değil 100 150 anca oyun vardır.;1
Beğenmedim hediye etmek için almıştım 400 oyunun en fazla 100 tanesi çalışıyor diğerleri birbirinin kopyası ve açılmıyor üstelik açılan oyunlarda oynanmıyor sürekli oyundan atıyor iade ettim;1
Ürün güzel fakat oyunların çeşitliliğinden hangi oyun olduğu anlaşılmıyor. 5 yaşındaki Kızıma almıştım ama maalesef oynayamadı;1
Çok hafif ve ufak (ebatlarına dikkat ederek alın ki sonra ay çok küçükmüş demeyin buradaki bazı yorumlarda olduğu gibi :)) Tahmin edileceği üzere içinde 70-80 oyun filan anca var, gerisi Mario 5, Mario 3 gibi gidiyor. Kontrol tuşları pek hassas değil, oyunlarda eski atarinizin ya da gameboyunuzun performansını beklemeyin. Ekran renkleri değişik, fazla parlak gibi ve ayarı yok, durdurma opsiyonu var ama oyundan çıkar ya da aleti kapatırsanız aynı yerden devam etmek yok. Pilli değil şarjlı olması iyi. Çok basit bir alet istiyorsanız işinizi görür, sadece o kadar.;1
Hayatımda gördüğüm en dandik plastik parçası. Evet içindeki oyunların hepsi ateri oynadığımız zamana götürüyor bizi fakat tuşlarıın plastiği o kadar kötü ki aterideki joystick konforu hiç yok. Süs olarak barınmaya devam edicek hayatımda...;1
ekran kalitesi fotolarda gözüktüğü gibi değil gözleriniz bozulabilir. zaten 5 gün oynuyorsunuz sonra hevesiniz de kaçıyor;1
bir hafta sonra şarj takılan yer elimizde kaldı şarj olmadan hiç bir işe yaramıyor ki düşmedi kırılmadı;1
hiç tavsiye etmiyorum görüntü berbat batarya süresi çok kötü ve oyunun ortasında beyaz ekran çıkıyor ve ilerlemeniz kaydedilmiyor.... Aldıktan 4 gün sonra bozuldu......;1
Ürünü aldım 50 gun kadar kullandık sonra bataryası şişti attım simdi buna uygun batarya bulamıyorum oyun çöp oldu.;1
Çokta alınası bir ürün değil. Olmasa da olur Aslında şarj süresi uzun bütün gün takılı kalmasına rağmen dolmadı diyebilirim.;1
cok gec geldi neredeyse 10 gunu buldu oyunlar hep ayni yani toplamda 400 oyun yok ses kısılabiliyor cok hafif kaliteli bisi beklenmesin;1
berbaat ya şarj yeri bozuldu gelir gelmez parçası içine düştü iade edicem çok dandik ama içindeki oyunlar süper oynamasida zevkli kolay tam çocuklara göre ama alet gerçekten kalitesiz ya da benim şansıma öyle oldu bilemiyorum;1
urun de oyunlar evet guzel ama malzeme kalitesi kesinlikle 0 sansmidir bilmem tabi ama daha elimize dun ulasti bugun sarj yeri cikti bukadar kotu bi malzeme olamaz ya oglumda cok begenmisti iade etmeyi dusunuyorum kesinlikle bu para etmez;1
Çok hafif bir ürün. Pek kaliteli olduğunu söyleyemeyeceğim. Çocukların değil, yetişkinlerin kullanması gerek bence. Elimizden kayıp yere düşmesiyle ekranının çatlaması bir oldu. Ayrıca şarjının dolup dolmadığına dair bir göstergesi vs yok. Şarjı dolsun diye beklerken pili şişti. Şuan kullanılamaz durumda. 1 hafta zor kullandık.;1
Fazlasıyla küçük ve gereksiz pahalı özellikle ekranı cidden çok küçük, usb kablosu çok kısa.;1
Takılıyor super mario dışında diğerleri takılıyor fiyatına göre iyi değildi iade ettim;1
Asla almayin. Cok kalitesiz ve tuslar o kadar kucuk ki oynayamiyorsunuz bu fiyati hic hak etmiyor;1
Mario karakterinin rengi çok soluk ama onun dışında özlenen ateşi;1
surf Mario icin almistim cok fazla oynama firsatim olmadi. cok asiri kakiteli degil ama eglenceli;1
Ürün plastiği kaliteli değil,ama oyunlar güzel.. bataryası çabuk bitiyor..;0
çok güzel bir ürün telefon yerine bununla oynuyorlar artık çocuklar;2
içinde çok oyun var ama ekranı çok kalitesiz hemen çiziliyor;2
Çok kaliteli bi ürün değil.. Ancak çocukların oyun ihtiyacını karşıladı..;2
Televizyona bağlama kablosu sıkıntılı bir de aldığımda bu fiyata değildi biraz pahalıya almışım.;1
Cocuklar icin fena degil ama daha kaliteli olabilirdi ozellikle ekran kalitesi;0
ilk bir hafta güzeldi ama sonrasında şarj olmadi malesef;0
İçindeki oyunlar görseldeki kadar net ve renkleri canlı değil.;1
Ürün güzel, çocukluğuma döndüm :) ama ekranı hemen çizildi ve tuşları da biraz sert maalesef.;0
Ürün güzel fakat ses çıkan yerinden cızırtı geliyor;0
Fiyatına göre uygun çok beklenti içinde olmadan alınabilinir;2
Şarjı uzun süre gitmiyor ve ekrani biraz soluk görünüyor.;0
içinde çok oyun var ama ekranı çok kalitesiz hemen çiziliyor;0
tuslarda biraz sıkıntı var saadece ama genel olarak guzel;0
Güzel ürün oyun çok fakat bi süre sonra göz bozar. Çok kaliteli bişey değil.;0
İçindeki oyunlar görseldeki kadar net ve renkleri canlı değil.;0
göründüğü gibi canli değil basit bişey fiyata degermi bilemedim;0
urun ayni gorundugu gibi ekran kalitesi dusuk tabiki cok bi beklentiniz olmasin;0
istediğim renk gelmedi ve her oyun güzel değil ama vakit geçirmeye yarıyor;0
Fena değil Marioyu özleyenler için güzel ama çok kaliteli bir şey beklemeyin plastik oyuncak gibi;0
Fotograftaki gibi kaliteli degil yoksa icinde 400 oyun var yani fiyatina gore iyi yine;0
Göründüğü kadar kaliteli değil şarjı çok dandik ama bu fiyatada ancak bu kadar oluyormuş diyorsunuz;1
Güzel fakat boyutu ufak geldi. Ben normal tetris boyutunda beklemiştim ama onun yarısı kadar geldi.;0
iyi güzel ama kalitesiz yere düştü ekran gitti oynayamıyoruz onum dışında güzel;0
Mario karakterinin rengi çok soluk ama onun dışında özlenen ateşi;0
Ürün plastiği kaliteli değil,ama oyunlar güzel.. bataryası çabuk bitiyor..;0
surf Mario icin almistim cok fazla oynama firsatim olmadi. cok asiri kakiteli degil ama eglenceli;0
Oyunlar güzel fakat cihaz çok basit çat diye kırılacak gibi tuşlar çalısıyor problemsiz geldi;0
Oğlum için aldım çok çok mükemmel değil ama içindeki oyunlar eskiye götürmeye yeter.;0
Ürün güzel, çocukluğuma döndüm :) ama ekranı hemen çizildi ve tuşları da biraz sert maalesef.;0
Ayni oyunlar 4-5 kez belki daha fazla yuklenmis, ekran goruntu kalitesi de kotu;1
Çocuklar için güzel çok fazla oyun var ama şarjı çok çabuk bitiyor;0
oyunlari guzel urun olarak da cok saglam durmuyo ama is gorur gibi;0
Sadece Marino oynanabilir başka biri yapılmıyor?? çocuğa aldık ben daha çok sevdim;0
Ürünü aldım 5 ay sonra kenara kaldrdım çokda gerekli değil ama güzel ürün eğlenceli.;0
Çok sevmiştim fakat açma kapama düğmesi hemen bozuldu . Ama şarjdayken yine de çalışıyo.;0
ilk aldığın zamanlarda çok güzel vakit geçiriyorsun ama sonralarda sıkılıp bir köşeye atılanlardan;0
Çocuklar severek oynuyorlar, çok kaliteli olmasada çocuklar için yeterli;0
Gecmise goturdu bizi ama basit bi alet sanirim gelistirirler;0
Fiyatına göre idare eder bazen tuşları takılı kalıyor onun dışında fena değil;0
Kafa dagitmak ve nostalji icin guzel bi atari. Sadece ekran goruntusu biraz daha iyi olabilirdi.;0
Fazla bir beklenti içerisen girmeyin. Oğlum oynamıyor;1
Kardeşime almıştım severek oynuyor;2
Aldığım Fiyata göre kalitesi kötü.;1
OYUN ÇOK VAR AMA MAKİNA DANDİK;1
Almasaydimda olurmus.;1
Kalitesiz plastik.. başarılı değil;1
Yeğenim için aldık baya severek oynuyor;2
Güzel bir ürün ama biraz daha kaliteli olabilirmiş;0
eski atarinin minik halı gayet güzel eğlenceli;2
Küçük ama güzel çocuklar sevdi;2
Çok kaliteli değil ama eğlenceli;0
Ailecek hoşumuza giden bi oyuncak oldu;2
çok güzel çok eglenceli;2
Keşke şarjlı değilde pilli olsaydı.;1
Gayet hoş hoşuma gitti;2
Çok güzel bir ürün müthiş eğlenceli;2
gayet beğendim eğlenceli çocukluğuma döndürdü :);2
Çocukluğumuza geri döndük eşimle;2
Elimden düşmüyor .. Alın aldırın.;2
Güzel boyutu beklediğim den küçük tü;2
Ekranda ufak bi leke var ama süper çok sevdik;2
Sandığımdan epey küçük ama çok güzel.;2
Bu fiyata ürün kalitesi daha iyi olabilirdi;1
cok güzel ürün resmen cocukluğuma döndüm;2
Ogluma aldım severek oynuyo;2
Severek kullanıyorum sarjı daha uzun gidebilirdi;2
Çok küçük o hariç güzel oyunları var;0
Çok hızlı bozuldu malesef ??;1
Oğlum çok sevdi teşekkürler;2
çok kaliteli bi ürün beklemeyin;1
Nostaljik ürün egsane oyunlar;2
küçük geldi ama güzel;2
Ekran kalitesi daha iyi olabilirdi.;1
Çocukluğunuza geri dönüyorsunuz :));2
Ekran fazla parliyor göz bozabilir çeyizlik aldım;1
Biraz küçük ama eşim severek kullanıyor;2
indirimsiz aldım ama güzel;2
goruntu cok iyi degil ama nostalji guzel;0
ürün güzel ama kapatınca baştan başlıyor;0
Kargosu hızlıydı güzel geldi eğlenceli bir oyun;2
Ürün beğendim ???? güzel;2
Biraz küçük ama tamamen nostaljik çok güzel ????;2
İyi durumda geldi bir sorun yoktu.;2
Eskilere döndük çok iyi??;2
fiyat performans açısından güzeldi ama çizik geldi;2
Fiyat performans olarak gayet iyi;2
Biraz boyut küçük geldi;2
Oğluma aldım çok sevdi..;2
Ürün güzel maziye gittim;2
Elimizden düşmüyor harika;2
Biraz ucuz duruyor ama eğlenceli;0
eski günleri yad ettik güzel eğlenceli .;2
çok güzel bir ürün büyük küçük herkes sevdi;2
Hızlı ve sorunsuz teslim edildi.;2
cok guzel kablosu cok kisa ama;0
elimde kırılacak gibi ama yinede çok güzel;0
Ürünün plastiği kalitesiz her oyun açılıyo;0
Çok şirin eskilere gittik beğendik;2
Kızım için aldım bizde oynuyoruz çok güzel;2
ücretine göre normal düzeyde;0
ekrani biraz kalitesiz bence onun dışında iyi;0
şarjı cabuk bitiyor;0
cok egleniyoruz;2
bayıldımmmmmmmm;2
kücuklügüme döndüm;2
ıyi ki almışım;2
Aşırı eğleniyorum ??;2
Çok eğlenceli;2
İyi kullanışlı;2
Süper bir ürün;2
Mükemmel ??;2
cok iyi fiyat;2
Süper süper süper;2
çok iyi :);2
Ürün güzel;2
en sevdigim ??;2
Çok güzel ????;2
Eğlenceli bir ürün;2
Alın, aldırın ??;2
Güzel ürün ??????;2
çok guzel bendim;2
kızım cok beğendi;2
??????????;2
süpermiş baya guzel;2
Çocukluğumuza döndük;2
kizim cok begendi??;2
Çok beğendim;2
Çok eğlenceli;2
begenmedim;1
Başarılı güzel;2
harika.cok beğendik;2
Çok eglenceli;2
Hızlı kargo;2
mükemmel bir ürün;2
Güzel ürün;2
Çok keyifli??;2
urun güzel tam;2
Gayet olumlu;2
Nostalji yasadık;2
çok keyifli bir şey;2
harika bir ürün;2
başarılı beğendik;2
Cok keyifli;2
Güzel ürün.;2
oğlum çok beğendi;2
Çok beğendik????;2
Çok güzel;2
Güzel başarılıııııı;2
Muhteşem bir ürün;2
bu fiyata iş görür;2
Oyunlar süper ????;2
Gayet güzel;2
Çok tatlı nostalji;2
?? güzel ürün;2
Ha Ri Ka ??;2
çok iyi :);2
cok iyi fiyat;2
Güzel ürün;2
Hızlı kargo;2
harika.cok beğendik;2
Mükemmel ??;2
çok guzel bendim;2
Güzel ürün ??????;2
Çok güzel;2
Çok güzel ????;2
Güzel başarılıııııı;2
Ürün güzel;2
Süper bir ürün;2
Başarılı güzel;2
Çok beğendim;2
begenmedim;1
kizim cok begendi??;2
??????????;2
cok eğlenceli;2
10 umara konsol :);2
?? güzel ürün;2
Ha Ri Ka ??;2
Gayet güzel;2
Oyunlar süper ????;2
bu fiyata iş görür;2
ba yıl dım;2
Cok guzel oyunlar;2
Gayet güzel;2
Fena değil iş görür;2
bayıldımmmmmmmm;2
Çocukluğumuza döndük;2
kızım cok beğendi;2
süpermiş baya guzel;2
Çok beğendim;2
??????????;2
begenmedim;1
Çok beğendik;2
Güzel ürün ??????;2
çok guzel bendim;2
Eğlenceli bir ürün;2
Alın, aldırın ??;2
Aşırı eğleniyorum ??;2
Mükemmel ??;2
Ürün güzel;2
Süper bir ürün;2
Çok eğlenceli;2
Çok beğendik????;2
Güzel başarılıııııı;2
Çok güzel;2
Çok güzel ????;2
oğlum çok beğendi;2
Çok eğlenceli;2
Gayet eglenceli;2
Çoook iyi.;2
çok güzel şahane;2
gayet başarılı;2
Geri tuşu olmaması kötü;1
Fiyat performans açısından çok iyi, teşekkür ederim;2
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;1
urun çok basit ses kalitesi görüntü kalitesi çok kötü oyunun sesini açtığımda sürekli cızırtı geliyor.en fazla 10 oyun oynanabilir;1
Göründüğünden çok daha küçük 5 oynamadan sonra bozulan, aşırı kötü kalitesiz bir oyun. Sakın almayın, paranızı çöpe atarsınız.;1
Şarjı hemen bitiyor, Türkçe dil desteği yok, geri iade olmadığı söylendi teknik destek vereceklermiş.. teknik servisten ses seda da yok;1
Bir ay sürmedi doğrudürüst oynayamadan bozuldu.düşmedi darbe almadı doğrudürüst kullanamadan yani kısaca ömrü çok kısa...;1
ürünü daha önce başka bir firmadan almıştık fakat 5 günde ekranı kararmaya başladı iade ettik. Sonra burdan aldım 5 haftada bundada aynı sorun başladı üründe kronik bir problem var sanirim.;1
Çok çabuk şarjı bitiyor ve bazı oyunlar oynanmıyor geri atıyor kullanıcıyı. Çok gereksiz asla parasını haketmiyor;1
Bu 5. Yaşayışım ptt kargo ve teslimat başka yere yapılmış neresi kim bilmiyorum. Hem çok gecikmeli hem yanlış ürün yok elimde;1
kötü yorumlara rağmen şans vermek istedim ancak oyun oynarken aniden ekran kararıyor ve ekranın yanında ufak delikten ışık sızıntısı var, iade göndereceğim.;1
Rengine göre karar vermeyin başka renk geliyor. Rengine göre fiyatı değişiyor. Ama aldığında farklı renk geliyor. Değiştirmekle uğraşılacak bir dönemde de değiliz. En ucuzunu alın.;1
Ekran görüntüsü fotoğraftaki gibi değil siyah beyaz ve dil seçeneği Türkçe değil, açıkçası beklentimi karşılamadı;1
Ürün korumasız ve ekranında çizikler olarak geldi. Pili taktığımızda oyun seçemedik. Hiçbir oyun oynanmadı. Kalite olarak zaten pek bir şey beklemiyorduk. Mecburen iade etmek zorunda kaldık.;1
Gelen Ürün sup marka değil. Dizaynı aynı ama çok basit duruyor ve adi . Ekranıda soluk , canlı değil . Firmanın yaptığı aldatmaca . İade edeceğim;1
şarja takmadan çalışmıyor. bataryası bozuk geldi. kutusunu atmış oldum şarjda çalıştığını görünce..çıkarınca hayal kırıklığı oldu..almayın;1
Ufacık bir bağlantı kablosu ile tv yapışık bir şekilde oynayabilirsiniz sarz hemen bitiyor mario özleyenler için idare eder;0
Ürünün kalitesi berbat aldıktan birgün sonra bozuldu bir açıldı bir açılmadı iade ettim reddedildi almanızı tavsiye etmiyorum bu paraya yazık;1
